date,total_subscribers,total_videos,total_views
2025-06-08 13:42:52 UTC,705,485,774857
2025-06-10 02:09:40 UTC,705,486,774959
2025-06-12 02:07:00 UTC,705,486,775105
2025-06-14 02:03:55 UTC,707,491,777154
2025-06-16 02:18:06 UTC,709,494,781831
2025-07-03 11:07:45 UTC,719,505,804774
2025-07-04 01:01:17 UTC,719,505,805314
2025-07-05 00:59:00 UTC,718,506,806079
2025-07-06 01:07:41 UTC,718,507,806195
2025-07-07 01:05:59 UTC,718,507,807204
2025-07-08 01:02:10 UTC,718,510,807963
2025-07-09 01:02:54 UTC,720,510,808777
2025-07-10 01:02:50 UTC,721,511,810327
2025-07-11 01:03:29 UTC,721,511,811121
2025-07-12 01:05:14 UTC,721,511,812462
2025-07-13 01:09:30 UTC,723,511,812521
2025-07-14 01:06:41 UTC,723,511,812593
2025-07-15 01:06:00 UTC,723,513,812640
2025-07-16 01:04:33 UTC,723,512,813782
2025-07-17 01:05:00 UTC,723,512,815166
2025-07-18 01:04:23 UTC,723,513,815252
2025-07-19 01:02:51 UTC,723,513,815299
2025-07-20 01:11:12 UTC,723,513,815366
2025-07-21 01:08:38 UTC,723,513,815410
2025-07-22 01:04:51 UTC,723,513,815482
2025-07-23 01:06:05 UTC,723,514,815520
2025-07-24 01:05:11 UTC,723,514,815757
2025-07-25 01:04:53 UTC,723,514,815826
2025-07-26 01:03:12 UTC,723,514,815876
2025-07-27 01:11:14 UTC,723,514,815918
2025-07-28 01:09:44 UTC,723,514,815982
