date,channel,videos,subscribers,views
2025-06-08 13:42:52 UTC,Main,168,392,501256
2025-06-08 13:42:52 UTC,Fortnite,249,263,238077
2025-06-08 13:42:52 UTC,Troubleshooting,14,35,19703
2025-06-08 13:42:52 UTC,Adamsmr,45,12,12197
2025-06-08 13:42:52 UTC,AJ_Studios,9,3,3624
2025-06-09 02:19:04 UTC,Main,168,392,501295
2025-06-09 02:19:04 UTC,Fortnite,249,263,238077
2025-06-09 02:19:04 UTC,Troubleshooting,14,35,19706
2025-06-09 02:19:04 UTC,Adamsmr,45,12,12197
2025-06-09 02:19:04 UTC,AJ_Studios,9,3,3624
2025-06-10 02:09:40 UTC,Main,168,392,501334
2025-06-10 02:09:40 UTC,Fortnite,250,263,238086
2025-06-10 02:09:40 UTC,Troubleshooting,14,35,19710
2025-06-10 02:09:40 UTC,Adamsmr,45,12,12205
2025-06-10 02:09:40 UTC,AJ_Studios,9,3,3624
2025-06-11 02:08:30 UTC,Main,168,392,501428
2025-06-11 02:08:30 UTC,Fortnite,250,263,238086
2025-06-11 02:08:30 UTC,Troubleshooting,14,35,19710
2025-06-11 02:08:30 UTC,Adamsmr,45,12,12207
2025-06-11 02:08:30 UTC,AJ_Studios,9,3,3624
2025-06-12 02:07:00 UTC,Main,168,392,501472
2025-06-12 02:07:00 UTC,Fortnite,250,263,238089
2025-06-12 02:07:00 UTC,Troubleshooting,14,35,19712
2025-06-12 02:07:00 UTC,Adamsmr,45,12,12208
2025-06-12 02:07:00 UTC,AJ_Studios,9,3,3624
2025-06-13 02:08:31 UTC,Main,169,392,501495
2025-06-13 02:08:31 UTC,Fortnite,251,264,238089
2025-06-13 02:08:31 UTC,Troubleshooting,14,35,19716
2025-06-13 02:08:31 UTC,Adamsmr,46,12,12208
2025-06-13 02:08:31 UTC,AJ_Studios,10,3,3625
2025-06-14 02:03:55 UTC,Main,169,393,502241
2025-06-14 02:03:55 UTC,Fortnite,251,264,238840
2025-06-14 02:03:55 UTC,Troubleshooting,14,35,19720
2025-06-14 02:03:55 UTC,Adamsmr,47,12,12590
2025-06-14 02:03:55 UTC,AJ_Studios,10,3,3763
2025-06-15 02:23:55 UTC,Main,169,393,503034
2025-06-15 02:23:55 UTC,Fortnite,252,265,239947
2025-06-15 02:23:55 UTC,Troubleshooting,14,35,19724
2025-06-15 02:23:55 UTC,Adamsmr,48,12,13460
2025-06-15 02:23:55 UTC,AJ_Studios,11,5,5100
2025-06-16 02:18:06 UTC,Main,169,393,503259
2025-06-16 02:18:06 UTC,Fortnite,252,264,240011
2025-06-16 02:18:06 UTC,Troubleshooting,14,35,19730
2025-06-16 02:18:06 UTC,Adamsmr,48,12,13458
2025-06-16 02:18:06 UTC,AJ_Studios,11,5,5373
2025-06-17 02:09:05 UTC,Main,169,393,503479
2025-06-17 02:09:05 UTC,Fortnite,253,264,240117
2025-06-17 02:09:05 UTC,Troubleshooting,14,35,19731
2025-06-17 02:09:05 UTC,Adamsmr,50,13,13459
2025-06-17 02:09:05 UTC,AJ_Studios,11,5,5379
2025-06-18 02:08:01 UTC,Main,169,393,503660
2025-06-18 02:08:01 UTC,Fortnite,253,265,240413
2025-06-18 02:08:01 UTC,Troubleshooting,14,35,19731
2025-06-18 02:08:01 UTC,Adamsmr,51,13,14976
2025-06-18 02:08:01 UTC,AJ_Studios,11,5,5378
2025-06-19 02:08:47 UTC,Main,169,394,503736
2025-06-19 02:08:47 UTC,Fortnite,253,265,241130
2025-06-19 02:08:47 UTC,Troubleshooting,14,35,19737
2025-06-19 02:08:47 UTC,Adamsmr,51,13,16166
2025-06-19 02:08:47 UTC,AJ_Studios,11,5,5376
2025-06-20 02:07:50 UTC,Main,169,394,503811
2025-06-20 02:07:50 UTC,Fortnite,253,265,241133
2025-06-20 02:07:50 UTC,Troubleshooting,14,35,19737
2025-06-20 02:07:50 UTC,Adamsmr,51,13,16434
2025-06-20 02:07:50 UTC,AJ_Studios,11,5,5376
2025-06-21 02:05:29 UTC,Main,169,394,503836
2025-06-21 02:05:29 UTC,Fortnite,253,265,241144
2025-06-21 02:05:29 UTC,Troubleshooting,14,35,19739
2025-06-21 02:05:29 UTC,Adamsmr,51,13,16441
2025-06-21 02:05:29 UTC,AJ_Studios,11,5,5381
2025-06-22 02:23:51 UTC,Main,169,394,503895
2025-06-22 02:23:51 UTC,Fortnite,253,265,241145
2025-06-22 02:23:51 UTC,Troubleshooting,14,35,19740
2025-06-22 02:23:51 UTC,Adamsmr,52,13,16442
2025-06-22 02:23:51 UTC,AJ_Studios,11,5,5381
2025-06-23 02:21:59 UTC,Main,169,394,503959
2025-06-23 02:21:59 UTC,Fortnite,253,265,241146
2025-06-23 02:21:59 UTC,Troubleshooting,14,35,19743
2025-06-23 02:21:59 UTC,Adamsmr,52,14,17313
2025-06-23 02:21:59 UTC,AJ_Studios,11,5,5382
2025-06-24 02:09:42 UTC,Main,169,394,503984
2025-06-24 02:09:42 UTC,Fortnite,253,265,241148
2025-06-24 02:09:42 UTC,Troubleshooting,14,35,19743
2025-06-24 02:09:42 UTC,Adamsmr,52,14,17317
2025-06-24 02:09:42 UTC,AJ_Studios,11,5,5382
2025-06-25 02:09:54 UTC,Main,169,394,504019
2025-06-25 02:09:54 UTC,Fortnite,253,265,241150
